"","ID","STRATA","E_km","N_km"
"178",178,"SNE",250.557801566744,4539.11332802394
"179",179,"WGOM",511.756755424391,4647.3241443886
"180",180,"GBK",691.965020598733,4613.06353311008
"181",181,"GBK",651.476986739557,4551.13094365259
"182",182,"WGOM",485.16824398704,4758.82380297514
"183",183,"GBK",514.930933642212,4490.6148374579
"184",184,"GBK",640.123004438672,4644.13979321012
"185",185,"WGOM",474.103748457028,4724.0511337542
"186",186,"SNE",292.740856719138,4474.48560668867
"187",187,"SNE",222.617881010637,4415.21974973861
"188",188,"GBK",650.944339047617,4540.47105367412
"189",189,"WGOM",509.43548536635,4668.61690642342
"190",190,"SNE",-99.0036195492745,4111.33994384088
"191",191,"SNE",-90.0529030924791,4112.77524562117
"192",192,"GBK",554.36194249177,4678.62651887383
"193",193,"SNE",262.133273264857,4501.02842236356
"194",194,"SNE",312.70172433989,4604.44088396953
"195",195,"GBK",533.092890476744,4459.04620436436
"196",196,"WGOM",599.574647927926,4700.53162317219
"197",197,"WGOM",440.078756651063,4563.01589940481
"198",198,"WGOM",443.169564272844,4515.32690952998
"199",199,"SNE",401.48675972917,4529.77657658834
"200",200,"SNE",165.841685935793,4460.63098424689
"201",201,"WGOM",355.986552689834,4745.00721841028
"202",202,"EGOM",655.538933642211,4905.75483745788
"203",203,"WGOM",458.43801621102,4441.57593837533
"204",204,"SNE",268.872266975549,4433.43578983886
"205",205,"GBK",522.012147927927,4511.54948031505
"206",206,"WGOM",423.88675972917,4641.58527224051
"207",207,"SNE",128.22700703671,4455.45667232029
"208",208,"WGOM",580.483378086657,4717.19928190235
"209",209,"SNE",0.034660137941215,4277.01552121859
"210",210,"WGOM",618.157577710008,4695.35653237315
"211",211,"WGOM",398.685275105628,4744.23044721399
"212",212,"SNE",354.121542337866,4478.94179397964
"213",213,"SNE",234.538933642215,4456.19865768262
"214",214,"EGOM",546.173079983675,4824.66947160423
"215",215,"SNE",311.34565633129,4561.09517359235
"216",216,"WGOM",456.196828379055,4547.71097780878
"217",217,"SNE",-27.20854110526,4253.63867584174
"218",218,"SNE",235.223144168531,4429.00045149299
"219",219,"EGOM",620.138933642211,4936.79083745789
"220",220,"SNE",300.219968124974,4491.04794090618
"221",221,"SNE",22.4519771204757,4355.48092441443
"222",222,"SNE",-115.507795329747,4107.84362250463
"223",223,"GBK",622.608240572905,4525.56176815097
"224",224,"GBK",720.862010565288,4584.55483745789
"225",225,"GBK",675.756324946559,4590.69686644339
"226",226,"GBK",526.900635769873,4636.2548374579
"227",227,"GBK",603.233848896449,4681.65314254264
"228",228,"WGOM",511.073024551305,4584.41392836699
"229",229,"SNE",359.63367048432,4615.94957430001
"230",230,"WGOM",440.160782381709,4437.68340888648
"231",231,"SNE",40.2930320028705,4323.61549319561
"232",232,"WGOM",467.098255676111,4800.47517644095
"233",233,"WGOM",444.85860577336,4764.09090303166
"234",234,"SNE",255.519886023168,4509.80721841028
"235",235,"GBK",596.963176066454,4612.92150412455
"236",236,"GBK",554.989914034369,4632.411700203
"237",237,"EGOM",477.594877698156,4857.78630598934
"238",238,"SNE",159.133273264857,4443.76427142017
"239",239,"SNE",229.549242920566,4519.26514673625
"240",240,"SNE",234.216016975549,4446.92150412457
"241",241,"GBK",609.928764150686,4480.90737983078
"242",242,"WGOM",366.615124118405,4748.12150412457
"243",243,"EGOM",609.742817137358,4927.390759788
"244",244,"EGOM",536.511155864435,4853.64372634679
"245",245,"SNE",99.1049713780639,4379.54729028809
"246",246,"GBK",649.556175021522,4585.70311331997
"247",247,"SNE",-83.8574627541815,4084.01159421466
"248",248,"SNE",99.190309789004,4456.14474571478
"249",249,"GBK",554.272878596341,4491.23648883405
"250",250,"WGOM",596.824647927926,4792.15959936265
"251",251,"EGOM",564.812437915716,4868.2377434408
"252",252,"SNE",317.915080431206,4443.52089250378
"253",253,"WGOM",464.930933642212,4817.99083745789
"254",254,"SNE",111.933891625408,4429.31366098732
"255",255,"EGOM",608.460193484731,4800.93200281222
"256",256,"SNE",5.01556915623343,4234.8810056822
"257",257,"GBK",702.957737061015,4615.00697421004
"258",258,"SNE",220.089495439968,4516.16494981745
"259",259,"GBK",655.499251102529,4489.58023428329
"260",260,"SNE",-18.674658590795,4225.2839636715
"261",261,"GBK",522.058618681582,4465.79814454451
"262",262,"SNE",307.312518547876,4439.97181858998
"263",263,"EGOM",559.391392658605,4802.58270631035
"264",264,"GBK",617.758231887826,4569.88641640527
"265",265,"SNE",-37.9719359230026,4212.32005484921
"266",266,"GBK",557.449824731322,4608.98751072523
"267",267,"WGOM",475.557452160732,4491.58817079124
"268",268,"EGOM",654.82295731085,4948.2962575762
"269",269,"WGOM",420.298623564693,4724.0997986982
"270",270,"WGOM",468.747266975547,4608.42150412457
"271",271,"EGOM",572.202198948335,4848.21402113137
"272",272,"SNE",91.8893609926422,4317.10099130406
"273",273,"GBK",515.180237990039,4592.67875050138
"274",274,"SNE",146.439834543116,4481.12871133178
"275",275,"SNE",411.428841899094,4588.8052961735
"276",276,"SNE",150.034868601565,4433.45808949042
"277",277,"SNE",208.038933642215,4360.66392836699
"278",278,"SNE",15.8209849242661,4346.53688873996
"279",279,"GBK",639.972266975545,4591.67150412457
"280",280,"SNE",60.3973407218608,4264.93625338711
"281",281,"WGOM",506.501197793156,4700.24540349564
"282",282,"GBK",567.507018748596,4536.38249703237
"283",283,"WGOM",437.264740093826,4754.74677294176
"284",284,"SNE",337.003580106862,4475.38615058922
"285",285,"SNE",184.167799621597,4513.44040446821
"286",286,"GBK",758.930237990037,4645.09831571877
"287",287,"GBK",670.470972477163,4672.20629376858
"288",288,"GBK",542.699311000703,4660.58502613715
"289",289,"SNE",-73.5086854054043,4160.62388507695
"290",290,"SNE",191.619290785073,4420.57626602933
"291",291,"WGOM",384.138933642213,4712.42283745789
"292",292,"GBK",710.255600308878,4606.37150412456
"293",293,"SNE",138.179959283241,4451.62235882543
"294",294,"SNE",146.649025385334,4396.98878241203
"295",295,"GBK",542.836643565876,4464.9723947098
"296",296,"SNE",154.464167287075,4324.72212717753
"297",297,"SNE",81.1254721037533,4433.41829899637
"298",298,"WGOM",502.538933642213,4750.52032418357
"299",299,"EGOM",594.043788011144,4919.04124522489
"300",300,"GBK",652.617058642211,4596.45014995789
"301",301,"WGOM",483.425726095043,4545.5189884013
"302",302,"SNE",142.726433642215,4364.53162317219
"303",303,"GBK",640.512617852738,4518.33378482633
"304",304,"SNE",261.538933642215,4572.08969984323
"305",305,"WGOM",457.960951990837,4631.74107599001
"306",306,"SNE",170.94044879373,4415.29271624577
"307",307,"SNE",376.333576499357,4472.8798374579
"308",308,"WGOM",501.852887130586,4620.9060002486
"309",309,"WGOM",436.454187879503,4866.66161711892
"310",310,"SNE",78.7216259499071,4250.22599130406
