Year,Month,Value
1958,Nov,0.176
1959,Nov,0.042
1960,Nov,0.241
1961,Nov,0.057
1962,Nov,0.036
1963,Nov,-0.068
1964,Nov,-0.177
1965,Nov,-0.288
1966,Nov,-0.009
1967,Nov,-0.246
1968,Nov,-0.12
1969,Nov,-0.137
1970,Nov,-0.253
1971,Nov,-0.256
1972,Nov,-0.29
1973,Nov,-0.222
1974,Nov,-0.439
1975,Nov,-0.354
1976,Nov,-0.429
1977,Nov,-0.156
1978,Nov,-0.132
1979,Nov,-0.098
1980,Nov,-0.209
1981,Nov,-0.144
1982,Nov,-0.425
1983,Nov,-0.166
1984,Nov,-0.432
1985,Nov,-0.304
1986,Nov,-0.406
1987,Nov,-0.079
1988,Nov,-0.16
1989,Nov,-0.163
1990,Nov,-0.067
1991,Nov,-0.276
1992,Nov,-0.35
1993,Nov,-0.335
1994,Nov,-0.037
1995,Nov,0.109
1996,Nov,-0.192
1997,Nov,0.033
1998,Nov,0.298
1999,Nov,-0.067
2000,Nov,-0.072
2001,Nov,0.137
2002,Nov,0
2003,Nov,0.204
2004,Nov,0.201
2005,Nov,0.12
2006,Nov,0.269
2007,Nov,0.156
2008,Nov,-0.019
2009,Nov,0.049
2010,Nov,0.215
2011,Nov,-0.092
2012,Nov,0.144
2013,Nov,0.107
2014,Nov,0.043
2015,Nov,0.164
2016,Nov,0.368
2017,Nov,0.329
2018,Nov,-0.143
2019,Nov,0.087
2020,Nov,0.113
2021,Nov,0.445
2022,Nov,0.282
2023,Nov,-99.99
1948,Dec,0.056
1949,Dec,0.112
1950,Dec,0.082
1951,Dec,0.168
1952,Dec,0.334
1953,Dec,0.251
1954,Dec,-0.059
1955,Dec,0.249
1956,Dec,0.011
1957,Dec,0.071
1958,Dec,0.211
1959,Dec,0.1
1960,Dec,0.128
1961,Dec,0.203
1962,Dec,0.18
1963,Dec,-0.071
1964,Dec,-0.132
1965,Dec,-0.135
1966,Dec,0.068
1967,Dec,-0.165
1968,Dec,-0.139
1969,Dec,-0.044
1970,Dec,-0.222
1971,Dec,-0.321
1972,Dec,-0.364
1973,Dec,-0.251
1974,Dec,-0.374
1975,Dec,-0.335
1976,Dec,-0.445
1977,Dec,-0.218
1978,Dec,-0.195
1979,Dec,-0.072
1980,Dec,-0.261
1981,Dec,-0.014
1982,Dec,-0.388
1983,Dec,-0.011
1984,Dec,-0.326
1985,Dec,-0.345
1986,Dec,-0.38
1987,Dec,0.034
1988,Dec,-0.177
1989,Dec,-0.166
1990,Dec,-0.05
1991,Dec,-0.229
1992,Dec,-0.3
1993,Dec,-0.31
1994,Dec,-0.108
1995,Dec,0.024
1996,Dec,-0.173
1997,Dec,0.113
1998,Dec,0.261
1999,Dec,-0.004
2000,Dec,-0.146
2001,Dec,0.194
2002,Dec,-0.015
2003,Dec,0.205
2004,Dec,0.168
2005,Dec,0.196
2006,Dec,0.151
2007,Dec,0.091
2008,Dec,-0.002
2009,Dec,0.062
2010,Dec,0.187
2011,Dec,-0.066
2012,Dec,0.12
2013,Dec,0.015
2014,Dec,0.037
2015,Dec,0.207
2016,Dec,0.313
2017,Dec,0.341
2018,Dec,-0.083
2019,Dec,0.142
2020,Dec,0.163
2021,Dec,0.252
2022,Dec,0.218
2023,Dec,-99.99
