"Quantile","Year","Season","Northing.Est","Northing.SD","Easting.Est","Easting.SD","strata"
"0.05",2012,"Fall",4543.89840181434,21.2400437561566,362.988933642213,37.4470386140438,"ALL"
"0.05",2013,"Spring",4519.92150412456,52.5194133473133,313.480962627722,76.2711093100324,"ALL"
"0.05",2013,"Fall",4543.89840181434,21.9578222087433,375.325258428538,50.2452651825703,"ALL"
"0.05",2014,"Spring",4523.66705119835,65.6612237311765,277.675685778967,75.5836329683981,"ALL"
"0.05",2014,"Fall",4553.68704084773,15.8773858406991,367.390785494066,24.5914395489461,"ALL"
"0.05",2015,"Spring",4501.88876602933,51.9853240231168,273.095385255118,75.0939573516709,"ALL"
"0.05",2015,"Fall",4537.40396026492,19.2864516842759,371.87556730558,28.8182069395451,"ALL"
"0.05",2016,"Spring",4532.21097780878,56.7908945028745,357.898933642214,87.3819083169597,"ALL"
"0.05",2016,"Fall",4531.79769460076,21.4579140716788,359.634678323066,39.2122226368184,"ALL"
"0.05",2017,"Spring",4521.76021380199,62.7601942634879,304.875297278578,75.2834964327081,"ALL"
"0.05",2017,"Fall",4568.66108745789,20.2869760404991,380.043358420975,13.9095628587307,"ALL"
"0.05",2018,"Spring",4527.86308488058,37.0118592277235,313.480962627722,51.7609986981157,"ALL"
"0.05",2018,"Fall",4534.79389995789,21.8443000629277,363.14955311124,42.9929977151659,"ALL"
"0.05",2019,"Spring",4543.44127813587,64.1416378581893,351.989384092664,79.4587384286437,"ALL"
"0.05",2019,"Fall",4540.2548374579,14.0724173025199,369.113933642215,17.6656547453997,"ALL"
"0.05",2020,"Spring",4532.61198031505,38.12995687236,351.989384092664,56.8517124022824,"ALL"
"0.05",2020,"Fall",4537.40396026492,56.8345547828256,351.989384092664,57.6110128238529,"ALL"
"0.05",2021,"Spring",4527.86308488058,52.2873882646341,338.745545212462,65.4312432876278,"ALL"
"0.05",2021,"Fall",4529.8548374579,18.417314827631,368.668563271843,17.0208374561768,"ALL"
"0.5",1982,"Spring",4613.57715150748,41.3925171654441,447.605600308879,39.8812110970086,"ALL"
"0.5",1982,"Fall",4660.52917374109,26.9321260217648,527.420289574415,47.6799272504526,"ALL"
"0.5",1983,"Spring",4616.3798374579,25.0224525878916,474.396076499355,47.571492714226,"ALL"
"0.5",1983,"Fall",4653.16711815966,43.8096673110562,482.878064076995,41.5956197612832,"ALL"
"0.5",1984,"Spring",4635.33740626524,37.6126440365645,493.09527167038,50.3581138196055,"ALL"
"0.5",1984,"Fall",4666.5601006158,46.343249447928,595.270892405099,45.5142065500868,"ALL"
"0.5",1985,"Spring",4630.2447364478,43.3974848246733,481.56994139415,50.113227257381,"ALL"
"0.5",1985,"Fall",4684.30525762596,50.87949419206,560.658933642212,37.3956369723476,"ALL"
